2018-10-10 07:04:16 status half-installed libgcrypt20:armhf 1.6.5-2
2018-10-10 07:04:16 status unpacked libgcrypt20:armhf 1.6.5-2
2018-10-10 07:04:16 status unpacked libgcrypt20:armhf 1.6.5-2
2018-10-10 07:04:16 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2018-10-10 07:04:16 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2018-10-10 07:04:16 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2018-10-10 07:04:16 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2018-10-10 07:04:16 install libkmod2:armhf <none> 22-1ubuntu4
2018-10-10 07:04:16 status half-installed libkmod2:armhf 22-1ubuntu4
2018-10-10 07:04:16 status unpacked libkmod2:armhf 22-1ubuntu4
2018-10-10 07:04:16 status unpacked libkmod2:armhf 22-1ubuntu4
2018-10-10 07:04:16 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2018-10-10 07:04:16 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-10-10 07:04:16 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-10-10 07:04:16 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-10-10 07:04:16 install libmount1:armhf <none> 2.27.1-6ubuntu3
2018-10-10 07:04:16 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 status unpacked libmount1:armhf 2.27.1-6ubuntu3
2018-10-10 07:04:16 install libncurses5:armhf <none> 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status half-installed libncurses5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status unpacked libncurses5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 install libncursesw5:armhf <none> 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status half-installed libncursesw5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2018-10-10 07:04:16 install libpam-modules:armhf <none> 1.1.8-3.2ubuntu2
2018-10-10 07:04:16 status half-installed libpam-modules:armhf 1.1.8-3.2ubuntu2
2018-10-10 07:04:16 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2018-10-10 07:04:16 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2018-10-10 07:04:16 install libpam-modules-bin:armhf <none> 1.1.8-3.2ubuntu2
